sample_id,split,scenario_group,ci_platform,source_dataset,source_pipeline_id,source_run_id,timestamp,repository,branch,language,os,cloud_provider,failure_stage,severity,cpu_usage_pct,memory_usage_mb,retry_count,error_type,error_message,stack_trace_summary,failed_file,important_log_excerpt,raw_github_actions_log,model_input_text,root_cause_label,label_verified,label_method,neutral_run_context
GH_RCA_04578,train,invalid_env_value,GitHub Actions,Kaggle CI/CD Pipeline Failure Logs (metadata),pipe_7207,run_30324,2025-09-05T16:50:16.927259,repo_101,develop,Java,ubuntu-latest,Azure,test,LOW,51.66,29660,5,ConfigurationValueError,PORT contains invalid value abc,environment setup,.github/workflows/test.yml,"ConfigurationValueError: PORT must be an integer
##[error]Process completed with exit code 1.","2025-09-05T16:50:16Z Runner image initialized
2025-09-05T16:50:16Z Previous step completed successfully
2025-09-05T16:50:16Z ##[group]Run cargo test
2025-09-05T16:50:16Z ConfigurationValueError: PORT must be an integer
2025-09-05T16:50:16Z ##[error]Process completed with exit code 1.
2025-09-05T16:50:16Z Post job cleanup.
2025-09-05T16:50:16Z attempt=5; elapsed_ms=10017; worker_slot=1","stage=test | language=Java | error_type=ConfigurationValueError | error_message=PORT contains invalid value abc | stack_trace=environment setup | failed_file=.github/workflows/test.yml | log=ConfigurationValueError: PORT must be an integer
##[error]Process completed with exit code 1. | context=attempt=5; elapsed_ms=10017; worker_slot=1",workflow_environment_issue,yes,curated diagnostic log with real Kaggle metadata,attempt=5; elapsed_ms=10017; worker_slot=1
GH_RCA_08728,validation,service_degraded,GitHub Actions,Kaggle CI/CD Pipeline Failure Logs (metadata),pipe_6022,run_41229,2026-01-15T19:10:16.927259,repo_139,main,C++,windows-latest,AWS,test,LOW,36.33,754,5,PlatformServiceError,GitHub Actions service is degraded,GitHub Actions,N/A,"The hosted service is currently degraded
##[error]Process completed with exit code 1.","2026-01-15T19:10:16Z Runner image initialized
2026-01-15T19:10:16Z Artifact upload skipped after failure
2026-01-15T19:10:16Z ##[group]Run cargo test
2026-01-15T19:10:16Z The hosted service is currently degraded
2026-01-15T19:10:16Z ##[error]Process completed with exit code 1.
2026-01-15T19:10:16Z Post job cleanup.
2026-01-15T19:10:16Z attempt=5; elapsed_ms=10034; worker_slot=2","stage=test | language=C++ | error_type=PlatformServiceError | error_message=GitHub Actions service is degraded | stack_trace=GitHub Actions | failed_file=N/A | log=The hosted service is currently degraded
##[error]Process completed with exit code 1. | context=attempt=5; elapsed_ms=10034; worker_slot=2",other_or_unknown,yes,curated diagnostic log with real Kaggle metadata,attempt=5; elapsed_ms=10034; worker_slot=2
GH_RCA_04222,train,wrong_db_password,GitHub Actions,Kaggle CI/CD Pipeline Failure Logs (metadata),pipe_9207,run_15309,2025-10-31T23:45:16.927259,repo_209,feature-x,Python,windows-latest,Azure,test,MEDIUM,77.45,28545,4,DatabaseAuthenticationError,password authentication failed,database connection,.github/workflows/integration.yml,"FATAL: password authentication failed for user test_user
##[error]Process completed with exit code 1.","2025-10-31T23:45:16Z ##[group]Run actions/checkout@v4
2025-10-31T23:45:16Z Workspace prepared
2025-10-31T23:45:16Z ##[group]Run pytest
2025-10-31T23:45:16Z FATAL: password authentication failed for user test_user
2025-10-31T23:45:16Z ##[error]Process completed with exit code 1.
2025-10-31T23:45:16Z Post job cleanup.
2025-10-31T23:45:16Z attempt=4; elapsed_ms=10051; worker_slot=3","stage=test | language=Python | error_type=DatabaseAuthenticationError | error_message=password authentication failed | stack_trace=database connection | failed_file=.github/workflows/integration.yml | log=FATAL: password authentication failed for user test_user
##[error]Process completed with exit code 1. | context=attempt=4; elapsed_ms=10051; worker_slot=3",workflow_environment_issue,yes,curated diagnostic log with real Kaggle metadata,attempt=4; elapsed_ms=10051; worker_slot=3
GH_RCA_03596,train,missing_transitive,GitHub Actions,Kaggle CI/CD Pipeline Failure Logs (metadata),pipe_1848,run_1232,2026-01-30T23:46:16.927259,repo_147,develop,Go,windows-latest,AWS,build,MEDIUM,75.13,32046,3,TransitiveDependencyError,transitive dependency required by lodash is missing,dependency import,requirements.txt,"ImportError: missing transitive dependency for lodash
##[error]Process completed with exit code 1.","2026-01-30T23:46:16Z Dependency cache restored
2026-01-30T23:46:16Z Using hosted Ubuntu runner
2026-01-30T23:46:16Z ##[group]Run go test ./...
2026-01-30T23:46:16Z ImportError: missing transitive dependency for lodash
2026-01-30T23:46:16Z ##[error]Process completed with exit code 1.
2026-01-30T23:46:16Z Post job cleanup.
2026-01-30T23:46:16Z attempt=3; elapsed_ms=10068; worker_slot=4","stage=build | language=Go | error_type=TransitiveDependencyError | error_message=transitive dependency required by lodash is missing | stack_trace=dependency import | failed_file=requirements.txt | log=ImportError: missing transitive dependency for lodash
##[error]Process completed with exit code 1. | context=attempt=3; elapsed_ms=10068; worker_slot=4",dependency_issue,yes,curated diagnostic log with real Kaggle metadata,attempt=3; elapsed_ms=10068; worker_slot=4
GH_RCA_07404,train,dependency_malware,GitHub Actions,Kaggle CI/CD Pipeline Failure Logs (metadata),pipe_8893,run_42848,2025-10-14T06:57:16.927259,repo_331,develop,NodeJS,macos-latest,AWS,build,LOW,79.32,22639,1,MalwareDetection,malicious dependency detected,dependency scan,package.json,"MalwareDetection: package flagged as malicious
##[error]Process completed with exit code 1.","2025-10-14T06:57:16Z Repository checkout completed
2025-10-14T06:57:16Z Runner image initialized
2025-10-14T06:57:16Z ##[group]Run go test ./...
2025-10-14T06:57:16Z MalwareDetection: package flagged as malicious
2025-10-14T06:57:16Z ##[error]Process completed with exit code 1.
2025-10-14T06:57:16Z Post job cleanup.
2025-10-14T06:57:16Z attempt=1; elapsed_ms=10085; worker_slot=5","stage=build | language=NodeJS | error_type=MalwareDetection | error_message=malicious dependency detected | stack_trace=dependency scan | failed_file=package.json | log=MalwareDetection: package flagged as malicious
##[error]Process completed with exit code 1. | context=attempt=1; elapsed_ms=10085; worker_slot=5",security_policy_issue,yes,curated diagnostic log with real Kaggle metadata,attempt=1; elapsed_ms=10085; worker_slot=5
GH_RCA_04855,test,config_schema_mismatch,GitHub Actions,Kaggle CI/CD Pipeline Failure Logs (metadata),pipe_9307,run_24424,2025-09-06T05:35:16.927259,repo_375,develop,Java,ubuntu-latest,GCP,build,HIGH,34.02,5455,4,ConfigurationSchemaError,configuration does not match required schema,configuration loading,config/test.yaml,"ConfigurationSchemaError: additional property servicePort is not allowed
##[error]Process completed with exit code 1.","2025-09-06T05:35:16Z Using hosted Ubuntu runner
2025-09-06T05:35:16Z ##[group]Run actions/checkout@v4
2025-09-06T05:35:16Z ##[group]Run npm test
2025-09-06T05:35:16Z ConfigurationSchemaError: additional property servicePort is not allowed
2025-09-06T05:35:16Z ##[error]Process completed with exit code 1.
2025-09-06T05:35:16Z Post job cleanup.
2025-09-06T05:35:16Z attempt=4; elapsed_ms=10102; worker_slot=6","stage=build | language=Java | error_type=ConfigurationSchemaError | error_message=configuration does not match required schema | stack_trace=configuration loading | failed_file=config/test.yaml | log=ConfigurationSchemaError: additional property servicePort is not allowed
##[error]Process completed with exit code 1. | context=attempt=4; elapsed_ms=10102; worker_slot=6",workflow_environment_issue,yes,curated diagnostic log with real Kaggle metadata,attempt=4; elapsed_ms=10102; worker_slot=6
GH_RCA_03142,train,peer_conflict,GitHub Actions,Kaggle CI/CD Pipeline Failure Logs (metadata),pipe_9800,run_30308,2025-08-26T10:35:16.927259,repo_282,release,Rust,ubuntu-latest,GCP,build,LOW,76.8,10210,3,PeerDependencyError,peer dependency requirements cannot be satisfied,npm install,package.json,"npm ERR! ERESOLVE unable to resolve dependency tree
##[error]Process completed with exit code 1.","2025-08-26T10:35:16Z Runner image initialized
2025-08-26T10:35:16Z Post job cleanup started
2025-08-26T10:35:16Z ##[group]Run mvn test
2025-08-26T10:35:16Z npm ERR! ERESOLVE unable to resolve dependency tree
2025-08-26T10:35:16Z ##[error]Process completed with exit code 1.
2025-08-26T10:35:16Z Post job cleanup.
2025-08-26T10:35:16Z attempt=3; elapsed_ms=10119; worker_slot=7","stage=build | language=Rust | error_type=PeerDependencyError | error_message=peer dependency requirements cannot be satisfied | stack_trace=npm install | failed_file=package.json | log=npm ERR! ERESOLVE unable to resolve dependency tree
##[error]Process completed with exit code 1. | context=attempt=3; elapsed_ms=10119; worker_slot=7",dependency_issue,yes,curated diagnostic log with real Kaggle metadata,attempt=3; elapsed_ms=10119; worker_slot=7
GH_RCA_05453,train,ephemeral_storage,GitHub Actions,Kaggle CI/CD Pipeline Failure Logs (metadata),pipe_9258,run_6749,2025-12-04T05:49:16.927259,repo_187,release,NodeJS,windows-latest,AWS,deploy,HIGH,92.11,2063,5,StorageQuotaError,ephemeral storage limit exceeded,runner container,N/A,"Pod ephemeral local storage usage exceeds limit
##[error]Process completed with exit code 1.","2025-12-04T05:49:16Z Repository checkout completed
2025-12-04T05:49:16Z Environment variables loaded
2025-12-04T05:49:16Z ##[group]Run mvn test
2025-12-04T05:49:16Z Pod ephemeral local storage usage exceeds limit
2025-12-04T05:49:16Z ##[error]Process completed with exit code 1.
2025-12-04T05:49:16Z Post job cleanup.
2025-12-04T05:49:16Z attempt=5; elapsed_ms=10136; worker_slot=8","stage=deploy | language=NodeJS | error_type=StorageQuotaError | error_message=ephemeral storage limit exceeded | stack_trace=runner container | failed_file=N/A | log=Pod ephemeral local storage usage exceeds limit
##[error]Process completed with exit code 1. | context=attempt=5; elapsed_ms=10136; worker_slot=8",infrastructure_resource_issue,yes,curated diagnostic log with real Kaggle metadata,attempt=5; elapsed_ms=10136; worker_slot=8
GH_RCA_07004,train,license_violation,GitHub Actions,Kaggle CI/CD Pipeline Failure Logs (metadata),pipe_1367,run_5833,2026-01-14T13:40:16.927259,repo_214,release,Java,windows-latest,Azure,deploy,HIGH,24.6,17986,1,LicensePolicyError,dependency license violates policy,license scan,package.json,"Policy violation: GPL dependency not permitted
##[error]Process completed with exit code 1.","2026-01-14T13:40:16Z Workspace prepared
2026-01-14T13:40:16Z Artifact upload skipped after failure
2026-01-14T13:40:16Z ##[group]Run npm test
2026-01-14T13:40:16Z Policy violation: GPL dependency not permitted
2026-01-14T13:40:16Z ##[error]Process completed with exit code 1.
2026-01-14T13:40:16Z Post job cleanup.
2026-01-14T13:40:16Z attempt=1; elapsed_ms=10153; worker_slot=9","stage=deploy | language=Java | error_type=LicensePolicyError | error_message=dependency license violates policy | stack_trace=license scan | failed_file=package.json | log=Policy violation: GPL dependency not permitted
##[error]Process completed with exit code 1. | context=attempt=1; elapsed_ms=10153; worker_slot=9",security_policy_issue,yes,curated diagnostic log with real Kaggle metadata,attempt=1; elapsed_ms=10153; worker_slot=9
GH_RCA_03779,validation,api_removed,GitHub Actions,Kaggle CI/CD Pipeline Failure Logs (metadata),pipe_8771,run_28137,2025-11-02T09:32:16.927259,repo_343,main,NodeJS,ubuntu-latest,AWS,build,HIGH,48.34,10892,5,DependencyAPIError,installed spring-core version removed required API,application import,requirements.txt,"ImportError: cannot import removed symbol from spring-core
##[error]Process completed with exit code 1.","2025-11-02T09:32:16Z Workspace prepared
2025-11-02T09:32:16Z Dependency cache restored
2025-11-02T09:32:16Z ##[group]Run mvn test
2025-11-02T09:32:16Z ImportError: cannot import removed symbol from spring-core
2025-11-02T09:32:16Z ##[error]Process completed with exit code 1.
2025-11-02T09:32:16Z Post job cleanup.
2025-11-02T09:32:16Z attempt=5; elapsed_ms=10170; worker_slot=10","stage=build | language=NodeJS | error_type=DependencyAPIError | error_message=installed spring-core version removed required API | stack_trace=application import | failed_file=requirements.txt | log=ImportError: cannot import removed symbol from spring-core
##[error]Process completed with exit code 1. | context=attempt=5; elapsed_ms=10170; worker_slot=10",dependency_issue,yes,curated diagnostic log with real Kaggle metadata,attempt=5; elapsed_ms=10170; worker_slot=10
