failure_id,ci_tool,language,failure_stage,failure_type,error_type,error_message,stack_trace_summary,log_excerpt,model_input_text,is_flaky_test,root_cause_label
RCA_01225,GitLab CI,Java,test,Permission Error,TimeoutError,TimeoutError: waiting for element 'button.save' exceeded 10 seconds,src/test/java/com/demo/OrderServiceTest.java line 82,FAILED src/test/java/com/demo/OrderServiceTest.java::test_process_order - UI locator or wait condition is unstable | additional context: retry attempted; cache restored; environment variables loaded; exit code 1,test | Permission Error | TimeoutError | TimeoutError: waiting for element 'button.save' exceeded 10 seconds | src/test/java/com/demo/OrderServiceTest.java line 82 | FAILED src/test/java/com/demo/OrderServiceTest.java::test_process_order - UI locator or wait condition is unstable | additional context: retry attempted; cache restored; environment variables loaded; exit code 1,FALSE,application_defect
RCA_00101,GitHub Actions,NodeJS,test,Resource Exhaustion,DNSResolutionError,Temporary failure in name resolution for host 'api.example.com',urllib3/connection.py line 72,Max retries exceeded because DNS resolution failed,test | Resource Exhaustion | DNSResolutionError | Temporary failure in name resolution for host 'api.example.com' | urllib3/connection.py line 72 | Max retries exceeded because DNS resolution failed,FALSE,network_issue
RCA_01083,GitHub Actions,Java,deploy,Deployment Failure,DNSResolutionError,Temporary failure in name resolution for host 'auth.service.local',urllib3/connection.py line 24,Max retries exceeded because DNS resolution failed,deploy | Deployment Failure | DNSResolutionError | Temporary failure in name resolution for host 'auth.service.local' | urllib3/connection.py line 24 | Max retries exceeded because DNS resolution failed,FALSE,network_issue
RCA_00722,Azure DevOps,Java,test,Dependency Error,AssertionError,AssertionError: assert 180 == 190,src/test/java/com/demo/UserServiceTest.java line 106,FAILED src/test/java/com/demo/UserServiceTest.java::test_apply_discount - expected value in test appears outdated,test | Dependency Error | AssertionError | AssertionError: assert 180 == 190 | src/test/java/com/demo/UserServiceTest.java line 106 | FAILED src/test/java/com/demo/UserServiceTest.java::test_apply_discount - expected value in test appears outdated,TRUE,test_script_issue
RCA_00366,Jenkins,Python,deploy,Dependency Error,NameError,NameError: name 'respnse' is not defined,app/payment_service.py line 115 in process_order,FAILED tests/test_calculator.py::test_deploy_health - undefined variable raised from application code,deploy | Dependency Error | NameError | NameError: name 'respnse' is not defined | app/payment_service.py line 115 in process_order | FAILED tests/test_calculator.py::test_deploy_health - undefined variable raised from application code,TRUE,application_defect
RCA_00354,Azure DevOps,Python,build,Resource Exhaustion,NameError,NameError: name 'usr_id' is not defined,app/calculator.py line 97 in process_order,FAILED tests/test_order_service.py::test_apply_discount - undefined variable raised from application code,build | Resource Exhaustion | NameError | NameError: name 'usr_id' is not defined | app/calculator.py line 97 in process_order | FAILED tests/test_order_service.py::test_apply_discount - undefined variable raised from application code,TRUE,application_defect
RCA_00418,Jenkins,Go,test,Deployment Failure,ImagePullBackOff,ImagePullBackOff: failed to pull image 'registry.internal/order-api:1.2.0',kubernetes/deploy.yaml line 139,Deployment failed because container image could not be pulled,test | Deployment Failure | ImagePullBackOff | ImagePullBackOff: failed to pull image 'registry.internal/order-api:1.2.0' | kubernetes/deploy.yaml line 139 | Deployment failed because container image could not be pulled,FALSE,deployment_issue
RCA_00495,Azure DevOps,Java,test,Resource Exhaustion,FileNotFoundError,FileNotFoundError: config/test_config.json not found,app/config.py line 113,Configuration file path does not exist in CI environment,test | Resource Exhaustion | FileNotFoundError | FileNotFoundError: config/test_config.json not found | app/config.py line 113 | Configuration file path does not exist in CI environment,FALSE,environment_config_issue
RCA_00721,GitLab CI,C++,test,Network Error,AssertionError,AssertionError: expected status 200 but got 500,src/user_service.cpp line 109 in validate_payment,FAILED tests/test_user_service.cpp::test_deploy_health - application returned internal server error,test | Network Error | AssertionError | AssertionError: expected status 200 but got 500 | src/user_service.cpp line 109 in validate_payment | FAILED tests/test_user_service.cpp::test_deploy_health - application returned internal server error,TRUE,application_defect
RCA_00394,CircleCI,NodeJS,build,Network Error,AssertionError,AssertionError: expected status 200 but got 500,src/routes/api.js line 30 in create_user,FAILED tests/orderService.test.js::test_process_order - application returned internal server error,build | Network Error | AssertionError | AssertionError: expected status 200 but got 500 | src/routes/api.js line 30 in create_user | FAILED tests/orderService.test.js::test_process_order - application returned internal server error,TRUE,application_defect
RCA_00059,GitLab CI,Java,deploy,Deployment Failure,ModuleNotFoundError,ModuleNotFoundError: No module named 'numpy',src/test/java/com/demo/UserServiceTest.java line 112,ImportError while importing test module because dependency numpy is missing | additional context: retry attempted; cache restored; environment variables loaded; exit code 1,deploy | Deployment Failure | ModuleNotFoundError | ModuleNotFoundError: No module named 'numpy' | src/test/java/com/demo/UserServiceTest.java line 112 | ImportError while importing test module because dependency numpy is missing | additional context: retry attempted; cache restored; environment variables loaded; exit code 1,FALSE,dependency_issue
RCA_01254,GitHub Actions,C++,test,Permission Error,KeyError,KeyError: 'DATABASE_URL',app/config.py line 64 in load_config,Missing environment variable in CI runner | additional context: retry attempted; cache restored; environment variables loaded; exit code 1,test | Permission Error | KeyError | KeyError: 'DATABASE_URL' | app/config.py line 64 in load_config | Missing environment variable in CI runner | additional context: retry attempted; cache restored; environment variables loaded; exit code 1,FALSE,environment_config_issue
