test_id,test_name,pipeline,browser,os,language,cloud_provider,branch,root_cause,failure_stage,failure_type,error_message,stack_trace,severity,old_value,new_value,retry_count,test_duration_sec,cpu_usage_pct,memory_usage_mb,is_flaky_test,recommendation,developer_alert,timestamp
SEL-2120,Product Search Test,Azure DevOps,Firefox,ubuntu-latest,JavaScript,Azure,release,synchronization_issue,test,Timeout,Failed to complete the action on the web application.,Exception at generic_handler.py,MEDIUM,driver.implicitly_wait(3),"WebDriverWait(driver, 20).until(EC.element_to_be_clickable(locator))",3,64,32.29,996,True,"Replace 'driver.implicitly_wait(3)' with explicit wait: WebDriverWait(driver, 20).until(EC.element_to_be_clickable(locator))",False,2025-06-12T00:00:00
SEL-1112,Password Reset Test,Azure DevOps,Edge,ubuntu-latest,Python,GCP,release,locator_issue,test,Test Failure,InvalidSelectorException: invalid selector: //input[@name='username'] is not a valid CSS selector,ElementNotInteractableException at PasswordResetTest.sendKeys(),MEDIUM,//input[@name='username'],//button[@data-qa='pay-now'],1,73,20.41,952,False,Update locator from '//input[@name='username']' to '//button[@data-qa='pay-now']' using stable data-testid attribute,False,2025-05-16T00:00:00
SEL-3042,Profile Update Test,GitHub Actions,Safari,ubuntu-latest,Java,AWS,feature-x,network_api_error,test,Test Failure,AssertionError: Expected item count 5 but found 0 — cart test data not initialized,DataNotFoundException at TestDataHelper.fetchRecord(),LOW,hardcoded/stale test data,dynamic test data with @BeforeEach setup,1,27,22.6,1766,False,Re-seed test database with fresh test data before execution,True,2025-05-30T00:00:00
SEL-2020,API Response Test,Azure DevOps,Edge,ubuntu-latest,Java,GCP,main,synchronization_issue,test,Timeout,TimeoutException: Timed out after 10000ms while waiting for element '.modal-overlay' to disappear,TimeoutException at APIResponseTest.waitForElement() — implicit wait too short,HIGH,driver.implicitly_wait(2),"WebDriverWait(driver, 10).until(EC.presence_of_element_located(locator))",2,201,36.18,1422,True,Increase timeout and add explicit visibility check before interaction,False,2025-04-25T00:00:00
SEL-2083,Cart Validation Test,GitHub Actions,Edge,windows-latest,JavaScript,GCP,hotfix,synchronization_issue,test,Timeout,selenium.common.exceptions.ElementNotVisibleException: element is not visible at the time of interaction,TimeoutException at CartValidationTest.waitForElement() — implicit wait too short,HIGH,"WebDriverWait(driver, 5)","WebDriverWait(driver, 30).until(EC.text_to_be_present_in_element(locator, text))",1,113,12.4,1553,True,Increase timeout and add explicit visibility check before interaction,False,2025-11-19T00:00:00
SEL-4123,Report Export Test,GitLab CI,Safari,macos-latest,Java,GCP,release,synchronization_issue,deploy,Resource Exhaustion,WebDriverException: Chrome browser failed to launch — ChromeDriver version mismatch,EnvironmentError at TestBase.getDriver() — RemoteWebDriver unavailable,HIGH,N/A,N/A,3,31,94.96,7125,True,Update ChromeDriver version to match installed Chrome browser version,True,2025-01-13T00:00:00
SEL-2085,Notification Test,Jenkins,Safari,macos-latest,JavaScript,On-Prem,develop,environment_failure,test,Timeout,selenium.common.exceptions.TimeoutException: Message: Timeout waiting for element to be clickable,TimeoutException at WebDriverWait.until() — element not ready within timeout period,HIGH,"WebDriverWait(driver, 5)","WebDriverWait(driver, 30).until(EC.text_to_be_present_in_element(locator, text))",4,237,43.96,804,True,"Replace 'WebDriverWait(driver, 5)' with explicit wait: WebDriverWait(driver, 30).until(EC.text_to_be_present_in_element(locator, text))",False,2025-03-24T00:00:00
SEL-2104,Password Reset Test,Jenkins,Firefox,macos-latest,C#,Azure,develop,synchronization_issue,test,Timeout,selenium.common.exceptions.ElementNotVisibleException: element is not visible at the time of interaction,TimeoutException at WebDriverWait.until() — element not ready within timeout period,MEDIUM,time.sleep(0.5),"WebDriverWait(driver, 15).until(EC.visibility_of_element_located(locator))",2,242,39.84,2873,True,Increase timeout and add explicit visibility check before interaction,False,2025-12-12T00:00:00
SEL-3000,Registration Test,Azure DevOps,Chrome,macos-latest,C#,Azure,feature-x,test_data_issue,test,Test Failure,System.Exception: General failure detected in the testing pipeline.,Exception at generic_handler.py,LOW,hardcoded/stale test data,dynamic test data with @BeforeEach setup,0,50,26.8,991,True,Validate test data availability in @BeforeEach setup method,True,2025-01-16T00:00:00
SEL-4043,Payment Test,GitHub Actions,Chrome,windows-latest,Python,AWS,release,environment_failure,build,Resource Exhaustion,SSLError: SSL certificate verification failed for test environment endpoint,WebDriverException at WebDriver.initialize() — driver binary not found,HIGH,N/A,N/A,4,7,60.42,3939,True,Check Selenium Grid hub availability and ensure test node is registered,True,2025-12-10T00:00:00
